[  5 17 21:26:29 2021] tgid,2863, delta_vrun,9451, delta_rrun,16093, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,5045, delta_rrun,5045, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,4426, delta_rrun,4426, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,3141, delta_rrun,3141, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,83556, delta_rrun,83556, prio,120
[  5 17 21:26:29 2021] tgid,322, delta_vrun,55, delta_rrun,4784, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,45, delta_rrun,3946, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,431, delta_rrun,37383, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,215, delta_rrun,18693, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,50, delta_rrun,4384, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,86, delta_rrun,7532, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,107, delta_rrun,9297, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,509, delta_rrun,46358, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,200, delta_rrun,17366, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,100, delta_rrun,8684, prio,100
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,26044, delta_rrun,28757, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,69116, delta_rrun,71905, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,20860, delta_rrun,20860, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,49243, delta_rrun,49243, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,16126, delta_rrun,16126, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,25772, delta_rrun,25772, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,11883, delta_rrun,11883, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,15597, delta_rrun,15597, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,76800, delta_rrun,76800, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,39921, delta_rrun,39921, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,118303, delta_rrun,118303, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,60134, delta_rrun,60134, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,53116, delta_rrun,53116, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,110516, delta_rrun,110516, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,47662, delta_rrun,47662, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,119442, delta_rrun,119442, prio,120
[  5 17 21:26:29 2021] tgid,2315, delta_vrun,23555, delta_rrun,157791, prio,120
[  5 17 21:26:29 2021] tgid,2315, delta_vrun,136977, delta_rrun,136977, prio,120
[  5 17 21:26:29 2021] tgid,2315, delta_vrun,18305, delta_rrun,118123, prio,120
[  5 17 21:26:29 2021] tgid,2315, delta_vrun,23844, delta_rrun,190969, prio,120
[  5 17 21:26:29 2021] tgid,2315, delta_vrun,179745, delta_rrun,262142, prio,120
[  5 17 21:26:29 2021] tgid,2338, delta_vrun,24982, delta_rrun,193459, prio,120
[  5 17 21:26:29 2021] tgid,2338, delta_vrun,80616, delta_rrun,80616, prio,120
[  5 17 21:26:29 2021] tgid,2226, delta_vrun,135579, delta_rrun,135579, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,34029, delta_rrun,34029, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,14984, delta_rrun,14984, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,49289, delta_rrun,49289, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,44866, delta_rrun,46778, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,23983, delta_rrun,23983, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,22155, delta_rrun,22155, prio,120
[  5 17 21:26:29 2021] tgid,320, delta_vrun,94, delta_rrun,8156, prio,100
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,90162, delta_rrun,90162, prio,120
[  5 17 21:26:29 2021] tgid,320, delta_vrun,94, delta_rrun,8227, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,423, delta_rrun,36678, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,196, delta_rrun,17071, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,97, delta_rrun,8449, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,85, delta_rrun,7453, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,55, delta_rrun,4818, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,372, delta_rrun,33869, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,164, delta_rrun,14897, prio,100
[  5 17 21:26:29 2021] tgid,320, delta_vrun,83, delta_rrun,7210, prio,100
[  5 17 21:26:30 2021] tgid,320, delta_vrun,106, delta_rrun,9210, prio,100
[  5 17 21:26:30 2021] tgid,320, delta_vrun,35, delta_rrun,3100, prio,100
[  5 17 21:26:30 2021] tgid,320, delta_vrun,335, delta_rrun,29075, prio,100
[  5 17 21:26:30 2021] tgid,320, delta_vrun,396, delta_rrun,36792, prio,100
[  5 17 21:26:30 2021] tgid,320, delta_vrun,89, delta_rrun,7786, prio,100
[  5 17 21:26:30 2021] tgid,2815, delta_vrun,17682, delta_rrun,17682, prio,120
[  5 17 21:26:30 2021] tgid,2815, delta_vrun,15041, delta_rrun,84489, prio,120
[  5 17 21:26:30 2021] tgid,2135, delta_vrun,25614, delta_rrun,25614, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,65015, delta_rrun,65015, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,63970, delta_rrun,63970, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,69868, delta_rrun,69868, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,15526, delta_rrun,17098, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,1596530, delta_rrun,1596530, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,34483, delta_rrun,34483, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,148017, delta_rrun,148017, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,6822, delta_rrun,6822, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,19625, delta_rrun,19625, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,11423, delta_rrun,11423, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,31723, delta_rrun,31723, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,61738, delta_rrun,61738, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,12739, delta_rrun,12739, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,36452, delta_rrun,36452, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,24212, delta_rrun,24212, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,147598, delta_rrun,147598, prio,120
[  5 17 21:26:30 2021] tgid,336, delta_vrun,49, delta_rrun,4290, prio,100
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,57471, delta_rrun,57471, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,26579, delta_rrun,26579, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,29809, delta_rrun,29809, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,8241, delta_rrun,8241, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,57545, delta_rrun,57545, prio,120
[  5 17 21:26:30 2021] tgid,1794, delta_vrun,36036, delta_rrun,36036, prio,120
[  5 17 21:26:30 2021] tgid,1794, delta_vrun,10844, delta_rrun,23935, prio,0
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,57548, delta_rrun,61364, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,10262, delta_rrun,10262, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,81528, delta_rrun,81528, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,16687, delta_rrun,18142, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,29342, delta_rrun,29342, prio,120
[  5 17 21:26:30 2021] tgid,2508, delta_vrun,28679, delta_rrun,100510, prio,120
[  5 17 21:26:30 2021] tgid,2508, delta_vrun,22971, delta_rrun,22971, prio,120
[  5 17 21:26:30 2021] tgid,2863, delta_vrun,10178, delta_rrun,10178, prio,120
[  5 17 21:26:30 2021] tgid,320, delta_vrun,418, delta_rrun,36253, prio,100
