[화  5월 18 15:17:04 2021] tgid, 1252, delta_vrun, 3686, delta_rrun, 3686, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1252, delta_vrun, 2961, delta_rrun, 2961, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1252, delta_vrun, 16328, delta_rrun, 16328, prio, 120
[화  5월 18 15:17:04 2021] tgid, 869, delta_vrun, 27273, delta_rrun, 28753, prio, 120
[화  5월 18 15:17:04 2021] tgid, 2133, delta_vrun, 26111, delta_rrun, 26111, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 210806, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 19930, delta_rrun, 56497, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 41621, delta_rrun, 42299, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 19086, delta_rrun, 20122, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 60135, delta_rrun, 60821, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 26306, delta_rrun, 26306, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 44876, delta_rrun, 44876, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 24103, delta_rrun, 24103, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 201062, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 160398, delta_rrun, 160398, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 59822, delta_rrun, 59822, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 27057, delta_rrun, 27057, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 344772, delta_rrun, 344772, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 36413, delta_rrun, 36413, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 106323, delta_rrun, 107498, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 49983, delta_rrun, 51165, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 216193, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 83121, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 83023, prio, 94
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 87828, delta_rrun, 87828, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 24355, delta_rrun, 25279, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1562, delta_vrun, 30593, delta_rrun, 30593, prio, 120
[화  5월 18 15:17:04 2021] tgid, 1805, delta_vrun, 80031, delta_rrun, 83940, prio, 94
