5 21 23:51:01 2021] tgid,315, delta_vrun,827, delta_rrun,71743, prio,100
5 21 23:51:01 2021] tgid,1191, delta_vrun,57098, delta_rrun,57098, prio,120
5 21 23:51:01 2021] tgid,2231, delta_vrun,12234, delta_rrun,12234, prio,120
5 21 23:51:02 2021] tgid,822, delta_vrun,76283, delta_rrun,76283, prio,120
5 21 23:51:02 2021] tgid,1191, delta_vrun,51228, delta_rrun,51228, prio,120
5 21 23:51:03 2021] tgid,11, delta_vrun,0, delta_rrun,36912, prio,0
5 21 23:51:03 2021] tgid,15, delta_vrun,0, delta_rrun,25557, prio,0
5 21 23:51:03 2021] tgid,20, delta_vrun,558, delta_rrun,28571, prio,0
5 21 23:51:03 2021] tgid,25, delta_vrun,508, delta_rrun,120314, prio,0
5 21 23:51:03 2021] tgid,2231, delta_vrun,12228, delta_rrun,12228, prio,120
5 21 23:51:04 2021] tgid,2231, delta_vrun,20488, delta_rrun,20488, prio,120
5 21 23:51:04 2021] tgid,2146, delta_vrun,108147, delta_rrun,108147, prio,120
5 21 23:51:04 2021] tgid,1191, delta_vrun,100643, delta_rrun,100643, prio,120
5 21 23:51:05 2021] tgid,1378, delta_vrun,13403, delta_rrun,44353, prio,0
5 21 23:51:06 2021] tgid,234, delta_vrun,561, delta_rrun,48638, prio,100
5 21 23:51:06 2021] tgid,351, delta_vrun,1225, delta_rrun,106259, prio,100
5 21 23:51:06 2021] tgid,234, delta_vrun,1278, delta_rrun,115000, prio,100
5 21 23:51:06 2021] tgid,351, delta_vrun,252, delta_rrun,21899, prio,100
5 21 23:51:06 2021] tgid,2231, delta_vrun,13434, delta_rrun,13434, prio,120
5 21 23:51:06 2021] tgid,822, delta_vrun,88040, delta_rrun,88040, prio,120
5 21 23:51:07 2021] tgid,351, delta_vrun,1034, delta_rrun,89677, prio,100
5 21 23:51:07 2021] tgid,11, delta_vrun,0, delta_rrun,113854, prio,0
5 21 23:51:07 2021] tgid,15, delta_vrun,0, delta_rrun,32383, prio,0
5 21 23:51:07 2021] tgid,20, delta_vrun,558, delta_rrun,127114, prio,0
5 21 23:51:07 2021] tgid,25, delta_vrun,508, delta_rrun,12298, prio,0
5 21 23:51:07 2021] tgid,1191, delta_vrun,60964, delta_rrun,60964, prio,120
5 21 23:51:07 2021] tgid,1191, delta_vrun,49821, delta_rrun,49821, prio,120
5 21 23:51:08 2021] tgid,2146, delta_vrun,72976, delta_rrun,72976, prio,120
5 21 23:51:10 2021] tgid,822, delta_vrun,76254, delta_rrun,76254, prio,120
5 21 23:51:10 2021] tgid,1191, delta_vrun,213365, delta_rrun,213365, prio,120
5 21 23:51:11 2021] tgid,234, delta_vrun,404, delta_rrun,35028, prio,100
5 21 23:51:11 2021] tgid,351, delta_vrun,1260, delta_rrun,109250, prio,100
5 21 23:51:11 2021] tgid,234, delta_vrun,781, delta_rrun,67722, prio,100
5 21 23:51:11 2021] tgid,351, delta_vrun,175, delta_rrun,15233, prio,100
5 21 23:51:11 2021] tgid,11, delta_vrun,0, delta_rrun,21692, prio,0
5 21 23:51:11 2021] tgid,15, delta_vrun,0, delta_rrun,36500, prio,0
5 21 23:51:11 2021] tgid,25, delta_vrun,508, delta_rrun,28570, prio,0
5 21 23:51:11 2021] tgid,20, delta_vrun,558, delta_rrun,229609, prio,0
5 21 23:51:12 2021] tgid,234, delta_vrun,1787, delta_rrun,154954, prio,100
5 21 23:51:12 2021] tgid,2146, delta_vrun,150569, delta_rrun,150569, prio,120
5 21 23:51:12 2021] tgid,1191, delta_vrun,65343, delta_rrun,65343, prio,120
5 21 23:51:13 2021] tgid,1378, delta_vrun,13403, delta_rrun,65906, prio,0
5 21 23:51:13 2021] tgid,1191, delta_vrun,59158, delta_rrun,59158, prio,120
5 21 23:51:14 2021] tgid,2231, delta_vrun,139356, delta_rrun,139356, prio,120
5 21 23:51:14 2021] tgid,822, delta_vrun,76560, delta_rrun,81631, prio,120
